"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2020-01-01 ~ 2020-12-31"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강서구"
"읍면동 : 마곡동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 강서구 마곡동","집합","7**","마곡서1로","일반상업","제1종근린생활","-","76.40"," ","41,300","3","-","-","202012","31","","2015","-","-","-"
"2","서울특별시 강서구 마곡동","집합","7**","방화대로","일반상업","제1종근린생활","-","84.98"," ","39,500","8","-","-","202012","31","","2016","-","-","-"
"3","서울특별시 강서구 마곡동","집합","7**","마곡중앙6로","일반상업","제2종근린생활","-","47.95"," ","88,000","1","-","-","202012","31","","2015","-","-","-"
"4","서울특별시 강서구 마곡동","집합","7**","강서로","일반상업","제1종근린생활","-","87.84"," ","58,400","5","-","-","202012","30","","2017","-","-","-"
"5","서울특별시 강서구 마곡동","집합","7**","방화대로","일반상업","제1종근린생활","-","95.16"," ","52,000","3","-","-","202012","30","","2016","-","-","-"
"6","서울특별시 강서구 마곡동","집합","7**","마곡중앙5로","일반상업","제2종근린생활","-","41.07"," ","131,000","1","-","-","202012","30","","2015","-","-","-"
"7","서울특별시 강서구 마곡동","집합","7**","공항대로","일반상업","업무","-","38.43"," ","44,186","2","-","-","202012","29","","2019","-","-","-"
"8","서울특별시 강서구 마곡동","집합","7**","공항대로","일반상업","제1종근린생활","-","45.36"," ","155,690","1","-","-","202012","29","","2019","-","-","-"
"9","서울특별시 강서구 마곡동","집합","7**","마곡중앙4로","준주거","제1종근린생활","-","80.64"," ","52,500","","-","-","202012","29","","2019","-","-","-"
"10","서울특별시 강서구 마곡동","집합","7**","마곡중앙2로","준주거","제2종근린생활","-","26.78"," ","28,200","2","-","-","202012","24","","2019","-","-","-"
"11","서울특별시 강서구 마곡동","일반","7**","마곡중앙로","준공업","교육연구","25m이상","1907.37","359.67","490,097","","-","-","202012","23","지분","2017","-","-","-"
"12","서울특별시 강서구 마곡동","집합","7**","마곡동로10길","준공업","제2종근린생활","-","41.44"," ","55,401","2","-","-","202012","23","","2018","-","-","-"
"13","서울특별시 강서구 마곡동","집합","7**","마곡중앙6로","일반상업","업무","25m미만","35.49"," ","16,900","9","-","-","202012","22","","2017","-","-","-"
"14","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","일반상업","업무","-","28.86"," ","18,830","","-","-","202012","21","","2017","-","-","-"
"15","서울특별시 강서구 마곡동","집합","7**","방화대로","일반상업","제1종근린생활","-","97.60"," ","44,000","6","-","-","202012","21","","2016","-","-","-"
"16","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","일반상업","업무","-","28.86"," ","18,840","","-","-","202012","21","","2017","-","-","-"
"17","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","일반상업","업무","-","28.86"," ","18,830","","-","-","202012","21","","2017","-","-","-"
"18","서울특별시 강서구 마곡동","집합","7**","마곡중앙5로","일반상업","판매","25m이상","30.95"," ","8,500","","-","-","202012","21","지분","2017","-","-","-"
"19","서울특별시 강서구 마곡동","집합","7**","마곡중앙5로","일반상업","판매","25m이상","32.69"," ","8,500","","-","-","202012","21","지분","2017","-","-","-"
"20","서울특별시 강서구 마곡동","집합","7**","공항대로","일반상업","업무","-","74.65"," ","52,300","13","-","-","202012","18","","2019","-","-","-"
"21","서울특별시 강서구 마곡동","집합","7**","공항대로","일반상업","제2종근린생활","-","227.72"," ","120,000","3","-","-","202012","17","","2016","-","-","-"
"22","서울특별시 강서구 마곡동","집합","7**","마곡중앙2로","준주거","업무","-","29.60"," ","16,400","7","-","-","202012","11","","2019","-","-","-"
"23","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","일반상업","업무","-","32.37"," ","19,074","","-","-","202012","10","","2017","-","-","-"
"24","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","일반상업","업무","-","31.54"," ","18,601","","-","-","202012","10","","2017","-","-","-"
"25","서울특별시 강서구 마곡동","집합","7**","공항대로","일반상업","제2종근린생활","-","56.90"," ","120,000","1","-","-","202012","09","","2016","-","-","-"
